iri	status	name	description	code	scheme
:CM_FileToDirectory	im:CM_ActiveStatus	File placed in a directory	A file is transferred or produced and placed in storage directory	CM_FileToDirectory	:CM_DiscoveryCode
:CM_FilingDocEncounter	im:CM_ActiveStatus	Filing of document or report		CM_FilingDocEncounter	:CM_DiscoveryCode
:CM_GConsultationGroup	im:CM_ActiveStatus	Consultation Group	Indicating a type of grouping of patients and healthcare professionals representing a consultation e.g. patient and health professional, or team	CM_GConsultationGroup	:CM_DiscoveryCode
:CM_GPEmergencyPatient	im:CM_ActiveStatus	Emergency patient (GP registration)	A patient receiving care from a GP and categorised as emergency patient for payment purposes	CM_GPEmergencyPatient	:CM_DiscoveryCode
:CM_GPImNecPatient	im:CM_ActiveStatus	Immediately necessary treatment patient (GP registration)	Patient classified as immediately necessary for payment purposes	CM_GPImNecPatient	:CM_DiscoveryCode
:CM_GPRegularPatient	im:CM_ActiveStatus	Regular GMS patient		CM_GPRegularPatient	:CM_DiscoveryCode
:CM_GPSurgeryConsultation	im:CM_ActiveStatus	GP surgery consultation	A consultation that takes place in a general practice surgery or GP clinic i.e. is a GP service led consultation. This will include nurse consultations in the context of general practice	CM_GPSurgeryConsultation	:CM_DiscoveryCode
:CM_GPTemporaryResident	im:CM_ActiveStatus	Temporary resident (GP registration)	Temporary resident for the purposes of care and GP payment	CM_GPTemporaryResident	:CM_DiscoveryCode
:CM_General_Practice_surgery	im:CM_ActiveStatus	General Practice surgery	A setting for the provision of care taking place within a GP surgery	CM_General_Practice_surgery	:CM_DiscoveryCode
:CM_Heading	im:CM_ActiveStatus	Heading	A Structured heading within an encounter used to label a section of the encounter record.\nThese are different from unstructured headings within documents that have no meaning in the context.	CM_Heading	:CM_DiscoveryCode
:CM_Home	im:CM_ActiveStatus	Home (care setting)	A care setting that is the patient's home	CM_Home	:CM_DiscoveryCode
:CM_HomeVisit	im:CM_ActiveStatus	Home visit	Consultation in the patients home	CM_HomeVisit	:CM_DiscoveryCode
:CM_HomertonCernerCode	im:CM_ActiveStatus	Homerton Cerner code	A Cerner generated code as used in Homerton NHS Trust	CM_HomertonCernerCode	:CM_DiscoveryCode
:CM_Hospital	im:CM_ActiveStatus	Hospital setting	A setting that is part of a hospital	CM_Hospital	:CM_DiscoveryCode
:CM_HospitalDayCase	im:CM_ActiveStatus	Hospital day case encounter	Day case encounter	CM_HospitalDayCase	:CM_DiscoveryCode
:CM_HospitalDayCaseDischarge	im:CM_ActiveStatus	Day case discharge	Discharge at the end of a daya case encounter	CM_HospitalDayCaseDischarge	:CM_DiscoveryCode
:CM_HospitalEncounter	im:CM_ActiveStatus	Hospital encounter	A sort of encounter or encounter process that takes place in hospital	CM_HospitalEncounter	:CM_DiscoveryCode
:CM_HospitalInpAdmitEncounter	im:CM_ActiveStatus	Hospital inpatient admission		CM_HospitalInpAdmitEncounter	:CM_DiscoveryCode
:CM_HospitalInpDischEncounter	im:CM_ActiveStatus	Hospital inpatient discharge	An encounter noting the dicharge of an inpatient	CM_HospitalInpDischEncounter	:CM_DiscoveryCode
:CM_HospitalPreadmission	im:CM_ActiveStatus	Hospital pre-admission	A note of a hospital pre admission	CM_HospitalPreadmission	:CM_DiscoveryCode
:CM_ICD10	im:CM_ActiveStatus	ICD10 code	Official ICD10 code as used in NHS	CM_ICD10	:CM_DiscoveryCode
:CM_Initial	im:CM_ActiveStatus	Initial	coming before all others in time or order	CM_Initial	:CM_DiscoveryCode
:CM_InitialAssessment	im:CM_ActiveStatus	Initial assessment	The initial evaluation of the patient	CM_InitialAssessment	:CM_DiscoveryCode
:CM_Inpatient	im:CM_ActiveStatus	Inpatient		CM_Inpatient	:CM_DiscoveryCode
:CM_MailToPatientEncounter	im:CM_ActiveStatus	Mail or letter to patient	The noting of a mail or letter to a patient	CM_MailToPatientEncounter	:CM_DiscoveryCode
:CM_MaternityAdmission	im:CM_ActiveStatus	Maternity admission	Maternity admission to unit	CM_MaternityAdmission	:CM_DiscoveryCode
:CM_MaternityDischarge	im:CM_ActiveStatus	Maternity discharge	Dsicharge after a maternity attendance whether inpatient or outpatient or day case	CM_MaternityDischarge	:CM_DiscoveryCode
:CM_MaternityPatient	im:CM_ActiveStatus	Maternity patient		CM_MaternityPatient	:CM_DiscoveryCode
:CM_ModelComponentStatus	im:CM_ActiveStatus	Model component status	A status of this model component	CM_ModelComponentStatus	:CM_DiscoveryCode
:CM_ModelDeltaUpdate	im:CM_ActiveStatus	Model delta update	Delta update to an information model	CM_ModelDeltaUpdate	:CM_DiscoveryCode
:CM_ModelDocumentInfo	im:CM_ActiveStatus	Model document information	Information about model documents	CM_ModelDocumentInfo	:CM_DiscoveryCode
:CM_ModelDocumentPurpose	im:CM_ActiveStatus	Model document purpose	Purpose of a particular model document	CM_ModelDocumentPurpose	:CM_DiscoveryCode
:CM_ModellingConcept	im:CM_ActiveStatus	Modelling concept	Concept(s) involved in maintaining the information model	CM_ModellingConcept	:CM_DiscoveryCode
:CM_NecessaryAndSufficient	im:CM_ActiveStatus	Necessary and sufficient	Concept definition is sufficient (equivalent status)	CM_NecessaryAndSufficient	:CM_DiscoveryCode
:CM_NecessaryButInsufficient	im:CM_ActiveStatus	Necessary but insufficient	Definition is subtype which is not sufficient to full define the concept	CM_NecessaryButInsufficient	:CM_DiscoveryCode
:CM_NeonatalCriticalCareEncounter	im:CM_ActiveStatus	Neonatal critical care encounter	A critical care period for a neonate	CM_NeonatalCriticalCareEncounter	:CM_DiscoveryCode
:CM_NightVisit	im:CM_ActiveStatus	Night visit	A visit to the patients home at night time	CM_NightVisit	:CM_DiscoveryCode
:CM_NoteEncounter	im:CM_ActiveStatus	Note entry		CM_NoteEncounter	:CM_DiscoveryCode
:CM_OPCS4	im:CM_ActiveStatus	OPCS4 code	An OPCS4 official code	CM_OPCS4	:CM_DiscoveryCode
:CM_ObservationType	im:CM_ActiveStatus	Observation (type)	what the observation is of e.g an observable entity or a diagnosis	CM_ObservationType	:CM_DiscoveryCode
:CM_OnPremiseEncounter	im:CM_ActiveStatus	Consultation on premise	An consultation that takes place on premises	CM_OnPremiseEncounter	:CM_DiscoveryCode
:CM_OnPremises	im:CM_ActiveStatus	Provider premises	A care setting on some health provider premises	CM_OnPremises	:CM_DiscoveryCode
:CM_OnWaitingList	im:CM_ActiveStatus	On the waiting list	A patient is currently on the waiting list	CM_OnWaitingList	:CM_DiscoveryCode
:CM_Outpatient	im:CM_ActiveStatus	Outpatient		CM_Outpatient	:CM_DiscoveryCode
:CM_OutpatientDischarge	im:CM_ActiveStatus	Outpatient discharge	End of an outpatient attendance	CM_OutpatientDischarge	:CM_DiscoveryCode
:CM_PaediatricCriticalCareEncounter	im:CM_ActiveStatus	Paediatric critical care encounter	A critical care period for a child	CM_PaediatricCriticalCareEncounter	:CM_DiscoveryCode
:CM_Patient_and_health_professional	im:CM_ActiveStatus	Patient and health professional	A grouping consisting of a patient and a HealthData professional	CM_Patient_and_health_professional	:CM_DiscoveryCode
:CM_PersonCareType	im:CM_ActiveStatus	Patient care classification	The category assigned to a patient when being provided with care. Specialised into GP registration types and hospital types	CM_PersonCareType	:CM_DiscoveryCode
:CM_PersonCareTypeGP	im:CM_ActiveStatus	GP Registration type	The category of patient when registered with a GP practice such as a regular GMS patient or temporary resident or emergency resident	CM_PersonCareTypeGP	:CM_DiscoveryCode
:CM_PersonCareTypeHosp	im:CM_ActiveStatus	Patient care classification (hospital)	The label normally applied to a type or status of  a patient such as an inpatient or outpatient	CM_PersonCareTypeHosp	:CM_DiscoveryCode
:CM_Pre-admission	im:CM_ActiveStatus	Pre-admission (care administration)	The process of pre-admitting a patient	CM_Pre-admission	:CM_DiscoveryCode
:CM_PreDsicharge	im:CM_ActiveStatus	Pre-discharge (care administration)	Discharge of or preparation of discharge of a patient	CM_PreDsicharge	:CM_DiscoveryCode
:CM_Provenance_SystemOp	im:CM_ActiveStatus	System operation activity	A concept that describes or affects the way a system operates	CM_Provenance_SystemOp	:CM_DiscoveryCode
:CM_QueryCancelled	im:CM_ActiveStatus	Query cancelled	The cancellation of a scheduled query	CM_QueryCancelled	:CM_DiscoveryCode
:CM_QueryCompleted	im:CM_ActiveStatus	Query Completed	A query has completed	CM_QueryCompleted	:CM_DiscoveryCode
:CM_QueryScheduled	im:CM_ActiveStatus	Query scheduled	A query has been scheduled to run	CM_QueryScheduled	:CM_DiscoveryCode
:CM_QueryStarted	im:CM_ActiveStatus	Query started	A query has started to run	CM_QueryStarted	:CM_DiscoveryCode
:CM_Read2	im:CM_ActiveStatus	Read 2 code	An official or unofficial Read 2 code, including term code extensions, in the supplier specific format e.g. H33-1 (emis) or 1R4W00 (Vision).\nIncludes newly issued Read 2 codes for Vision	CM_Read2	:CM_DiscoveryCode
:CM_ReferenceDocument	im:CM_ActiveStatus	Reference document	An information model document that is for information purposes, not designed to update the target model directly	CM_ReferenceDocument	:CM_DiscoveryCode
:CM_SN_386053000	im:CM_ActiveStatus	Assessment	The process of assessment	386053000	:CM_Snomed-CT
:CM_ScheduledActivity	im:CM_ActiveStatus	Scheduled activity	An activity that affects a scheduled activity such as scheduling a report or cancancelling a scheduled report	CM_ScheduledActivity	:CM_DiscoveryCode
:CM_Snomed-CT	im:CM_ActiveStatus	Snomed-CT code	An international or UK Snomed code. This does not include supplier specfic, local, or Discovery namespace extensions	CM_Snomed-CT	:CM_DiscoveryCode
:CM_SrcAdmA1	im:CM_ActiveStatus	NHS Hospital  general ward / young disabled /A&E department	NHS other Hospital Provider - WARD for general PATIENTS or the younger physically disabled or A & E department cds ype 51	CM_SrcAdmA1	:CM_DiscoveryCode
:CM_SrcAdmA2	im:CM_ActiveStatus	NHS Hospital maternity/ neonatal ward	NHS other Hospital Provider - WARD for maternity PATIENTS or Neonates CDS type 51	CM_SrcAdmA2	:CM_DiscoveryCode
:CM_SrcAdmA3	im:CM_ActiveStatus	Another NHS hospital ward for mental health or learning difficulties	NHS other Hospital Provider - WARD for PATIENTS who are mentally ill or have Learning Disabilities CDS type 53	CM_SrcAdmA3	:CM_DiscoveryCode
:CM_SrcAdmA4	im:CM_ActiveStatus	NHS care home	NHS run Care Home CDS type 54	CM_SrcAdmA4	:CM_DiscoveryCode
:CM_SrcAdmA5	im:CM_ActiveStatus	Local Authority residential/care home	Local Authority residential accommodation i.e. where care is provided CDS type 65	CM_SrcAdmA5	:CM_DiscoveryCode
:CM_SrcAdmA6	im:CM_ActiveStatus	Local Authority foster care	Local Authority foster care CDS type 66	CM_SrcAdmA6	:CM_DiscoveryCode
:CM_SrcAdmA7	im:CM_ActiveStatus	Baby born in or on the way to hospital	Babies born in or on the way to hospital CDS type 79	CM_SrcAdmA7	:CM_DiscoveryCode
:CM_SrcAdmA8	im:CM_ActiveStatus	Non-NHS/none local authority care Home	Non-NHS (other than Local Authority) run Care Home CDS type 85	CM_SrcAdmA8	:CM_DiscoveryCode
:CM_SrcAdmA9	im:CM_ActiveStatus	None NHS hospital	Non NHS run hospital CDS type 87	CM_SrcAdmA9	:CM_DiscoveryCode
:CM_SrcAdmCo	im:CM_ActiveStatus	Court	A court such as a HM Court CDS type 41, 37	CM_SrcAdmCo	:CM_DiscoveryCode
:CM_SrcAdmPSyHosp	im:CM_ActiveStatus	High security psychiatric accommodation in an NHS Hospital	NHS Hospital Provider - high security psychiatric accommodation in an NHS Hospital Provider (NHS Trust or NHS Foundation Trust) CDS type 49	CM_SrcAdmPSyHosp	:CM_DiscoveryCode
:CM_SrcAdmPe	im:CM_ActiveStatus	Penal establishment	Penal establishment CDS type 40	CM_SrcAdmPe	:CM_DiscoveryCode
:CM_SrcAdmPePoCo	im:CM_ActiveStatus	Penal establishment, Court, or Police Station / Police Custody Suite	Penal establishment, Court, or Police Station / Police Custody Suite CDS types 39,40,41,42	CM_SrcAdmPePoCo	:CM_DiscoveryCode
:CM_SrcAdmPo	im:CM_ActiveStatus	Police Station / Police Custody Suite	Police Station / Police Custody Suite CDS type 42	CM_SrcAdmPo	:CM_DiscoveryCode
:CM_SrcAdmTempR	im:CM_ActiveStatus	Temporary place of residence	Tempprary place of residence when usually resident elsewhere (e.g. hotels, residential Educational Establishments CDS type 29	CM_SrcAdmTempR	:CM_DiscoveryCode
:CM_SrcAdmUsual	im:CM_ActiveStatus	Usual place of residence	Usual place of residence unless listed below, for example, a private dwelling whether owner occupied or owned by Local Authority, housing association or other landlord. This includes wardened accommodation but not residential accommodation where health care is provided. It also includes PATIENTS with no fixed abode.  CDS type 19	CM_SrcAdmUsual	:CM_DiscoveryCode
:CM_SrcAsmA10	im:CM_ActiveStatus	Non-NHS/non local authority hospice	Non-NHS (other than Local Authority) run Hospice CDS type 88	CM_SrcAsmA10	:CM_DiscoveryCode
:CM_SurgeryPodEncounter	im:CM_ActiveStatus	Consultation via surgery pod	Consultation using the surgery pod device	CM_SurgeryPodEncounter	:CM_DiscoveryCode
:CM_Surgery_pod	im:CM_ActiveStatus	Surgery pod		CM_Surgery_pod	:CM_DiscoveryCode
:CM_TPPLocalCode	im:CM_ActiveStatus			CM_TPPLocalCode	:CM_DiscoveryCode
:CM_TeamMeeting	im:CM_ActiveStatus	Team meeting or case discussion	Team meeting or discussion about a case, not directly involving the patient	CM_TeamMeeting	:CM_DiscoveryCode
:CM_TelephoneConsultation	im:CM_ActiveStatus	Telephone consultation		CM_TelephoneConsultation	:CM_DiscoveryCode
:CM_TelephoneTriage	im:CM_ActiveStatus	Telephone triage consultation	Triage consultation over the telephone	CM_TelephoneTriage	:CM_DiscoveryCode
:CM_TermBasedCode	im:CM_ActiveStatus	Term based code	The code is actually an original term. The term has sufficient context to be relied upon no matter what publisher it came from.\n\nFor example.\nThe EMIS encounter type term \"inpatient admission\"  is in fact a recorded note of a discharge report.\nThe same term \"inpatient admission\", generated from a hospital ADT message can be considered to be the event of the admission.	CM_TermBasedCode	:CM_DiscoveryCode
:CM_TextMessageEncounter	im:CM_ActiveStatus	Text message consultation	Text message whatsapp or equivalent form of communication from the patient, noted as a form of consultation. Does not include SMS text message reminders to the patient	CM_TextMessageEncounter	:CM_DiscoveryCode
:CM_ThirdPartyConsultation	im:CM_ActiveStatus	Consultation with third party	A consultation involving the health professional and a third party e.g. relative	CM_ThirdPartyConsultation	:CM_DiscoveryCode
:CM_ThirdPartyTelcon	im:CM_ActiveStatus	Telephone consultation with third party	Use of telephone consultation via a patients carer, representative, relative or relevant party other than the patient	CM_ThirdPartyTelcon	:CM_DiscoveryCode
:CM_Transfer	im:CM_ActiveStatus	Transfer event	Transfer of patient between two states or locations	CM_Transfer	:CM_DiscoveryCode
:CM_TransferCareClassification	im:CM_ActiveStatus	Transfer care classification	Transfers a care classification	CM_TransferCareClassification	:CM_DiscoveryCode
:CM_TransferInpOp	im:CM_ActiveStatus	Transfer inpatient to outpatient	The event of transferring the care classification from an inpatient to an outpatient	CM_TransferInpOp	:CM_DiscoveryCode
:CM_TransferOpInp	im:CM_ActiveStatus	Transfer a patient from outpatient to inpatient	The event of transferring a patient from inpatient to outpatient	CM_TransferOpInp	:CM_DiscoveryCode
:CM_TransferWl	im:CM_ActiveStatus	Transfer on waiting list		CM_TransferWl	:CM_DiscoveryCode
